rule_id,API_norm_MF,S_t_MF,SMI_t_MF,Pt_MF,delta_WL_t_MF,rule_output_constant
132,0,1,0,1,2,[-0.05601495  0.06549375 -0.2668264   0.09410711  0.18666857  0.05650048]
133,0,1,0,1,3,[-0.52752215 -0.17750154  0.23774372  0.2792137  -0.47603074  0.07596739]
134,0,1,0,1,4,[-0.02351461  0.3999587  -0.11861944  0.10422954  0.16906886  0.46518004]
135,0,1,0,2,0,[-0.04909328  0.33231834  0.0854592   0.20605443  0.19984202  0.5189103 ]
136,0,1,0,2,1,[-0.1954761   0.07744961  0.16514918  0.24214807 -0.06350187  0.29206738]
137,0,1,0,2,2,[-0.03179615 -0.00868738 -0.10648161  0.10890087  0.1902857   0.03899345]
138,0,1,0,2,3,[-0.2651382  -0.02615558  0.22648524  0.265072   -0.20007136  0.20822817]
139,0,1,0,2,4,[-0.00639973  0.22016868 -0.02701708  0.10958269  0.17069255  0.30326253]
140,0,1,0,3,0,[0.02059191 0.54596597 0.18624447 0.3510716  0.41654253 0.8587988 ]
141,0,1,0,3,1,[-0.13679315  0.27871266  0.29855126  0.4142171   0.10026296  0.6401235 ]
142,0,1,0,3,2,[-0.0018676   0.03065941 -0.07594296  0.196212    0.36722904  0.148042  ]
143,0,1,0,3,3,[-0.20883977  0.18218543  0.38132426  0.45225504 -0.06545605  0.5753051 ]
144,0,1,0,3,4,[0.03029142 0.32402715 0.01430159 0.19119743 0.32490903 0.47721332]
145,0,1,0,4,0,[-0.24324009  0.5595665   0.09428424  0.297441    0.2790926   0.83657044]
146,0,1,0,4,1,[-0.5714382  -0.00731945  0.25678253  0.36359134 -0.2973178   0.3225999 ]
147,0,1,0,4,2,[-0.18093334 -0.1344525  -0.30129865  0.11046635  0.28036594 -0.13982418]
148,0,1,0,4,3,[-0.72488064 -0.23704804  0.385936    0.41093704 -0.59175473  0.13535075]
149,0,1,0,4,4,[-0.10639247  0.37311617 -0.11794254  0.1353281   0.2624192   0.46445513]
150,0,1,1,0,0,[0.04158436 0.68273836 0.3365056  0.4657901  0.6647912  1.2064072 ]
151,0,1,1,0,1,[-0.12450595  0.44844532  0.5045548   0.5565687   0.30761057  1.0706323 ]
152,0,1,1,0,2,[-0.01925999 -0.06087144 -0.03984824  0.25290567  0.5588203   0.15951334]
153,0,1,1,0,3,[-0.19759664  0.3914107   0.62304133  0.61142343  0.11985512  1.0738237 ]
154,0,1,1,0,4,[0.02427124 0.32849553 0.07264122 0.2479931  0.48935622 0.59200436]
155,0,1,1,1,0,[-0.10469733  0.53145844  0.10000691  0.29311377  0.28194684  0.8737764 ]
156,0,1,1,1,1,[-0.37258065  0.0941631   0.25663418  0.3430343  -0.14583941  0.5090171 ]
157,0,1,1,1,2,[-0.03290985 -0.0085827  -0.26500723  0.15582941  0.27313894  0.04955839]
158,0,1,1,1,3,[-0.507863   -0.09307406  0.37778896  0.3746888  -0.36975616  0.36978912]
159,0,1,1,1,4,[-0.00679659  0.37301674 -0.0944984   0.1560944   0.24037787  0.51440835]
160,0,1,1,2,0,[-0.00491941  0.36959788  0.16646133  0.28448278  0.3041416   0.6902527 ]
161,0,1,1,2,1,[-0.15178297  0.1374174   0.27069238  0.32888275  0.03856698  0.5119229 ]
162,0,1,1,2,2,[ 0.00157095 -0.04221974 -0.07504739  0.17030245  0.27249363  0.08663407]
163,0,1,1,2,3,[-0.22328916  0.05157173  0.34668186  0.3547181  -0.10100216  0.45844954]
164,0,1,1,2,4,[0.01967876 0.21397126 0.01147473 0.16055378 0.23746008 0.37493026]
165,0,1,1,3,0,[0.10376821 0.6208269  0.31841505 0.47461215 0.58560413 1.1413988 ]
