timestamp,water_level_cm,precip_kauno-ams,temp_kauno-ams,Pt,API_t,API_norm,SMI_t,S_t,delta_WL_t
2024-05-02,118.0,0.0,17.8,0.0,8.88894120684452,0.16562043582821248,44.5,-0.5197438121555155,3.0
2024-05-03,94.0,0.0,15.35,0.0,7.555600025817841,0.14046844789973414,38.375,-0.5343725582809787,-24.0
2024-05-04,80.0,0.0,16.22,0.0,6.422260021945165,0.11908925816052754,40.55,-0.548842958284719,-14.0
2024-05-05,32.0,0.4,16.07,0.4,5.85892101865339,0.10846249884936196,40.175,-0.5631507242749186,-48.0
2024-05-06,87.0,1.5,12.99,1.5,6.4800828658553815,0.12018002134456134,32.475,-0.5772916165517272,55.0
2024-05-07,66.0,0.9,7.43,0.9,6.408070435977074,0.11882158751474074,18.575,-0.5912614448635781,-21.0
2024-05-08,32.0,0.0,7.09,0.0,5.446859870580513,0.10068942683328315,17.725,-0.6050560696488488,-34.0
2024-05-09,44.0,0.4,7.73,0.4,5.029830889993437,0.09282264222120425,19.325000000000003,-0.6186714032625031,12.0
2024-05-10,28.0,4.0,10.49,4.0,8.27535625649442,0.15404584300537752,26.225,-0.6321034111873487,-16.0
2024-05-11,0.0,0.0,8.58,0.0,7.034052818020258,0.13063004400032444,21.45,-0.6453481132295501,-28.0
2024-05-12,0.0,0.0,9.61,0.0,5.978944895317219,0.11072661484602928,24.025,-0.6584015846980488,0.0
2024-05-13,0.0,0.0,12.75,0.0,5.082103161019636,0.0938087000648784,31.875,-0.6712599575675313,0.0
2024-05-14,12.0,0.0,15.39,0.0,4.3197876868666905,0.07942847250090015,38.475,-0.6839194216246106,12.0
2024-05-15,0.0,0.0,13.96,0.0,3.6718195338366866,0.06720527907151863,34.900000000000006,-0.6963762255968722,-12.0
2024-05-16,0.0,0.0,13.37,0.0,3.1210466037611835,0.05681556465654435,33.425,-0.7086266782644596,0.0
2024-05-17,0.0,0.0,16.0,0.0,2.6528896131970057,0.047984307403816207,40.0,-0.7206671495538609,0.0
